"","PC","ATE","SE","noise_type","noise_params","solution","data"
"426",60,2.18803993390358,0.0502578161995697,"None","None","1 4 b","sim2 5000"
"427",70,2.1952642262434,0.0485371124319151,"None","None","1 4 b","sim2 5000"
"428",80,2.20841196025525,0.0478606850097401,"None","None","1 4 b","sim2 5000"
"429",90,2.19064311458715,0.0463836168843082,"None","None","1 4 b","sim2 5000"
"430",100,2.18205328484448,0.045804877369176,"None","None","1 4 b","sim2 5000"
"431",10,4.22014644427955,0.0495835314936848,"None","None","2 4 b","sim2 5000"
"432",20,3.65653301469882,0.0519242943489245,"None","None","2 4 b","sim2 5000"
"433",30,3.27853981417413,0.0538287404417396,"None","None","2 4 b","sim2 5000"
"434",40,2.87966327728027,0.0537499360447895,"None","None","2 4 b","sim2 5000"
"435",50,2.72163447086533,0.0539108577374652,"None","None","2 4 b","sim2 5000"
"436",60,2.54687144034299,0.0537971998732844,"None","None","2 4 b","sim2 5000"
"437",70,2.44038382430651,0.0535651010229758,"None","None","2 4 b","sim2 5000"
"438",80,2.34416995979143,0.0534226035887257,"None","None","2 4 b","sim2 5000"
"439",90,2.24855057584906,0.052279501044815,"None","None","2 4 b","sim2 5000"
"440",100,2.19785010054818,0.0524813215918675,"None","None","2 4 b","sim2 5000"
